OID_,FID_FMWT19672022Cat_PairwiseClip,Year,SampleDate,SurveyNumber,StationCode,index,StationLat,StationLong,StartLat,StartLong,EndLat,EndLong,SampleTimeStart,DepthBottom,WaterTemperature,BottomTemperature,ConductivityTop,ConductivityBottom,Turbidity,Secchi,MeterStart,MeterEnd,MeterDiff,Volume,TideCode,TowDirectionCode,WeatherCode,Microcystis,WaveCode,Aequorea_spp,American_Shad,Arrow_Goby,Bat_Ray,Bay_Goby,Bay_Pipefish,Big_Skate,Bigscale_Logperch,Black_Crappie,Black_Perch,Bluegill,Broadnose_Sevengill_Shark,Brown_Bullhead,Brown_Smoothhound,California_Grunion,California_Halibut,California_Tonguefish,Chameleon_Goby,Channel_Catfish,Cheekspot_Goby,Chinook_Salmon,Chrysaora_fuscensens,Comb_Jelly,Common_Carp,Crangon_Shrimp,Delta_Smelt,Diamond_Turbot,Dwarf_Perch,English_Sole,Flatfish,Goby__unid_,Golden_Shiner,Goldfish,Green_Sturgeon,Green_Sunfish,Grey_Smoothhound,Hitch,Jacksmelt,Jellyfish,Largemouth_Bass,Leopard_Shark,Lingcod,Lizardfish,Longfin_Smelt,Maeotias,Mississippi_Grass_Shrimp,Mississippi_Silverside,Moon_Jellies,Mud_shrimp,Night_Smelt,Northern_Anchovy,Pacific_Electric_Ray,Pacific_Halibut,Pacific_Herring,Pacific_Lamprey,Pacific_Pompano,Pacific_Sanddab,Pacific_Sardine,Pacific_Staghorn_Sculpin,Pacific_Tomcod,Palaemon_spp_,Pile_Perch,Plainfin_Midshipman,Polyorchis,Prickly_Sculpin,Rainwater_Killifish,Redear_Sunfish,Riffle_Sculpin,River_Lamprey,Rock_Sole,Rubberlip_Seaperch,Sacramento_Blackfish,Sacramento_Perch,Sacramento_Pikeminnow,Sacramento_Sucker,Sand_Sole,Scrippsia_pacifica,Shimofuri_Goby,Shiner_Perch,Shokihaze_Goby,Shrimp__unid_,Siberian_Prawn,Silver_Surfperch,Smelt_Family,Speckled_Sanddab,Spiny_Dogfish,Splittail,Spotfin_Surfperch,Spotted_Bass,Starry_Flounder,Steelhead,Striped_Bass_age_0,Striped_Bass_age_1,Striped_Bass_age_2,Striped_Bass_age_3_,Surf_Smelt,Threadfin_Shad,Threespine_Stickleback,Topsmelt,Tule_Perch,Unid,Wakasagi,Walleye_Surfperch,Warmouth,Western_Mosquitofish,White_Catfish,White_Crappie,White_Croaker,White_Sea_Bass,White_Seaperch,White_Sturgeon,Whitebait_Smelt,Wolf_Eel,Yellowfin_Goby,FID_RiskRegions_DWSC_Update_9292020,Subregion,area_km2,area_hecta,are_mi2,Shape_Leng
660,15525,2009,10/19/2009 0:00:00,4,712,0,38.190420000000003,-121.640950000000004,38.18522,-121.64744,38.1845,-121.65069,14:04,10,17.300000000000001,,168,170,8.2,1.730000000000000,608261,627948,19687,5660.8,4,2,3,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Sacramento River,536,53600,207,1.544489643430000
661,15546,2009,10/21/2009 0:00:00,4,72,0,38.187750000000001,-121.580569999999994,,,38.18603,-121.58289,16:24,13,18.100000000000001,,156,160,2.6,2.000000000000000,27469,45611,18142,5216.6,4,2,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Sacramento River,536,53600,207,1.544489643430000
662,15547,2009,10/21/2009 0:00:00,4,73,0,38.274329999999999,-121.539370000000005,38.27467,-121.53983,38.27489,-121.54069,13:44,27,17.899999999999999,,156,153,6,2.000000000000000,957248,974068,16820,4836.4,2,2,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Sacramento River,536,53600,207,1.544489643430000
663,15548,2009,10/21/2009 0:00:00,4,717,0,38.170169999999999,-121.631379999999993,38.16956,-121.63069,38.17075,-121.63214,16:58,13,17.899999999999999,,160,160,2.5,2.000000000000000,45611,63201,17590,5057.8,4,2,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Sacramento River,536,53600,207,1.544489643430000
664,15549,2009,10/21/2009 0:00:00,4,724,0,38.235779999999998,-121.558779999999999,38.23689,-121.55878,38.23522,-121.55892,15:59,21,18.399999999999999,,154,157,2.7,2.000000000000000,11181,27469,16288,4683.5,4,2,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Sacramento River,536,53600,207,1.544489643430000
665,15550,2009,10/21/2009 0:00:00,4,735,0,38.333430000000000,-121.569680000000005,38.334,-121.5695,38.33514,-121.56831,14:24,25,17.399999999999999,,154,156,6.3,2.000000000000000,974068,992763,18695,5375.6,2,2,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Sacramento River,536,53600,207,1.544489643430000
666,15551,2009,10/21/2009 0:00:00,4,736,0,38.367370000000001,-121.521400000000000,38.36889,-121.52164,38.37036,-121.52214,14:49,25,17.399999999999999,,159,159,3.5,2.000000000000000,992763,1011181,18418,5295.9,2,2,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Sacramento River,536,53600,207,1.544489643430000
667,15604,2009,11/10/2009 0:00:00,5,712,0,38.190420000000003,-121.640950000000004,38.18331,-121.65236,38.18519,-121.64786,12:54,13,15.300000000000001,,205,194,7.4,1.120000000000000,548832,566996,18164,5222.9,2,2,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Sacramento River,536,53600,207,1.544489643430000
668,15636,2009,11/17/2009 0:00:00,5,72,0,38.187750000000001,-121.580569999999994,38.18761,-121.58064,38.19025,-121.57572,11:33,13,13.199999999999999,,186,187,3.3,2.000000000000000,44095,64037,19942,5734.1,1,3,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Sacramento River,536,53600,207,1.544489643430000
669,15637,2009,11/17/2009 0:00:00,5,73,0,38.274329999999999,-121.539370000000005,38.27375,-121.53881,38.27569,-121.54172,13:28,27,13.300000000000001,,190,202,7.1,2.000000000000000,80473,99030,18557,5335.9,2,2,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Sacramento River,536,53600,207,1.544489643430000
