OID_,FID_SpringCatchData_XYTableToPoint,SpringCatchData_csv_Station,SpringCatchData_csv_SampleDate,SpringCatchData_csv_Latitude,SpringCatchData_csv_Longitude,SpringCatchData_csv_CatchRowID,SpringCatchData_csv_SampleRowID,SpringCatchData_csv_OrganismCode,SpringCatchData_csv_Catch,SpringCatchData_csv_CommonName,Stations_Station,Stations_Lati,Stations_Longi,FID_RiskRegions_DWSC_Update_9292020,Subregion,area_km2,area_hecta,are_mi2,Shape_Leng
1,41,724,01-Apr-21,38-14-10.9,121-33-31.6,9709,4334,9,2,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
2,42,712,01-Apr-21,38-11-20.1,121-38-35.0,9710,4335,61,1,hitch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
3,54,711,01-Apr-21,38-10-35.5,121-39-43.1,9722,4340,9,2,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
4,144,712,28-Apr-21,38-11-17.8,121-38-36.1,9812,4382,12,1,inland silverside,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
5,145,711,28-Apr-21,38-10-35.9,121-39-40.7,9813,4383,9,1,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
6,146,724,28-Apr-21,38-14-11.1,121-33-31.8,9814,4384,9,1,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
7,217,711,20-Jan-22,38-10-37.0,121-39-42.7,9890,4420,0,,No Catch,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
8,218,712,20-Jan-22,38-11-22.3,121-38-36.1,9891,4421,0,,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
9,228,724,20-Jan-22,38-14-13.7,121-33-30.1,9901,4426,0,,No Catch,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
10,268,724,17-Feb-22,38-14-08.8,121-33-33.0,9939,4458,12,1,inland silverside,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
11,269,724,17-Feb-22,38-14-08.8,121-33-33.0,9967,4458,103,1,Siberian prawn,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
